params	total_open	total_closed	total_won	total_lost	win_streak	lose_streak	pnl_net	strike_rate	cagr	sharpe	sortino	volatility	avg_win	avg_loss	max_drawdown
{'period': 4, 'multiplier': 2.6000000000000005, 'length': 5, 'mav': 'EMA', 'printlog': False}	0	18	8	10	2	3	15.97	44.4444444444444	135.396172183425	7.64738814954315	41.7358580404278	0.41953725891456	0.031244368905183	-0.005781160475699	-0.015545086977074
{'period': 2, 'multiplier': 3.000000000000001, 'length': 5, 'mav': 'EMA', 'printlog': False}	0	20	11	9	4	3	15.52	55	118.919951563812	7.73142665545086	45.3340434987141	0.403546425810259	0.025363641131428	-0.005794910981891	-0.011190413390588
{'period': 4, 'multiplier': 2.7000000000000006, 'length': 5, 'mav': 'EMA', 'printlog': False}	0	18	9	9	4	3	15.44	50	116.376706881764	7.51534824194101	40.2856798195952	0.41383293113084	0.030577556026777	-0.005894233872559	-0.015535037318757
{'period': 2, 'multiplier': 3.100000000000001, 'length': 5, 'mav': 'EMA', 'printlog': False}	0	19	11	8	4	3	15.27	57.8947368421053	110.604537241217	7.30188752421022	41.6081419886842	0.4218879211801	0.025817014755078	-0.006804981149681	-0.011799738450551
{'period': 4, 'multiplier': 3.4000000000000012, 'length': 3, 'mav': 'EMA', 'printlog': False}	0	16	8	8	3	3	15.24	50	109.613835482992	7.26535383018955	38.4504779930546	0.423313440551844	0.030664245927842	-0.007506410097372	-0.01487386223633
{'period': 6, 'multiplier': 2.1, 'length': 8, 'mav': 'EMA', 'printlog': False}	0	19	10	9	3	3	14.92	52.6315789473684	99.9226328870953	8.01609031071828	48.8407785017471	0.374200353879775	0.024141136360315	-0.005229744894888	-0.009036620197608
{'period': 2, 'multiplier': 3.4000000000000012, 'length': 3, 'mav': 'EMA', 'printlog': False}	0	20	10	10	3	3	14.79	50	96.2902203909914	7.08028460172838	43.6315786846769	0.422703820982453	0.024613227478617	-0.005955057948218	-0.013519078610783
{'period': 2, 'multiplier': 3.5000000000000013, 'length': 3, 'mav': 'EMA', 'printlog': False}	0	19	9	10	3	3	14.74	47.3684210526316	94.8713320483264	6.91742120551477	38.422044248307	0.43181152727771	0.030177302959397	-0.006470777438948	-0.021052442076152
{'period': 4, 'multiplier': 2.5000000000000004, 'length': 5, 'mav': 'EMA', 'printlog': False}	0	20	10	10	4	3	14.66	50	92.6756378621354	7.20158673078317	41.2200709258651	0.41167937582349	0.028759323416326	-0.005229603334838	-0.015149138323501
{'period': 4, 'multiplier': 3.200000000000001, 'length': 3, 'mav': 'EMA', 'printlog': False}	0	17	8	9	3	3	14.65	47.0588235294118	92.3647443291858	6.7749445406784	30.7100456911419	0.438819774069241	0.031567845011129	-0.00797276856135	-0.025172938568544
{'period': 4, 'multiplier': 2.8000000000000007, 'length': 5, 'mav': 'EMA', 'printlog': False}	0	17	8	9	3	3	14.58	47.0588235294118	90.5270927845336	6.72114384392084	30.3181769324947	0.440542108767748	0.031539667520307	-0.008040089089099	-0.02725733865883
{'period': 2, 'multiplier': 3.6000000000000014, 'length': 3, 'mav': 'EMA', 'printlog': False}	0	18	8	10	3	3	14.5	44.4444444444444	88.3932155660721	6.75554528236996	34.0150463416212	0.435762195747736	0.030681708169372	-0.007318126854143	-0.025638186554266
{'period': 4, 'multiplier': 2.1, 'length': 8, 'mav': 'EMA', 'printlog': False}	0	21	10	11	3	3	14.46	47.6190476190476	87.4155488355616	7.83132794929818	41.6327363256791	0.37214632599339	0.024089272940978	-0.005968792365173	-0.011652085184196
{'period': 4, 'multiplier': 3.300000000000001, 'length': 3, 'mav': 'EMA', 'printlog': False}	0	17	8	9	3	3	14.4	47.0588235294118	85.907643120018	6.66772556261511	30.4559682464267	0.439005200784402	0.031398845099628	-0.008167367326682	-0.026584341252311
{'period': 6, 'multiplier': 2.2, 'length': 8, 'mav': 'EMA', 'printlog': False}	0	18	10	8	4	3	14.3	55.5555555555556	83.3471061443508	7.54939767257626	35.8939947562391	0.382503426303287	0.024355256663975	-0.006595735745884	-0.014518225653165
{'period': 2, 'multiplier': 3.7000000000000015, 'length': 3, 'mav': 'EMA', 'printlog': False}	0	18	8	10	3	3	14.12	44.4444444444444	79.0699002092997	6.68539484869602	33.6667459929266	0.429428693073568	0.029951532127516	-0.007166608535799	-0.025471670003023
{'period': 2, 'multiplier': 3.200000000000001, 'length': 5, 'mav': 'EMA', 'printlog': False}	0	18	9	9	3	3	13.97	50	75.6153662168912	7.27419362186495	37.7628216127246	0.388780430483461	0.024226522866534	-0.006983187939541	-0.014654792793205
{'period': 4, 'multiplier': 2.0, 'length': 8, 'mav': 'EMA', 'printlog': False}	0	21	11	10	4	3	13.95	52.3809523809524	75.1198029037353	7.52478634755753	37.7195112304172	0.374688193125269	0.023864687077047	-0.006558670477198	-0.01062083001536
{'period': 2, 'multiplier': 3.300000000000001, 'length': 5, 'mav': 'EMA', 'printlog': False}	0	18	9	9	3	3	13.94	50	75.0084648528631	7.24895720542234	36.9733258684321	0.38946578396923	0.024259927729839	-0.007076081669687	-0.016408758982147
{'period': 2, 'multiplier': 3.4000000000000012, 'length': 5, 'mav': 'EMA', 'printlog': False}	0	18	9	9	3	3	13.74	50	70.7240325173183	7.05778587331663	32.1369148216783	0.395040565719333	0.024625531888887	-0.007922299652815	-0.020278202356059
