params	total_open	total_closed	total_won	total_lost	win_streak	lose_streak	pnl_net	strike_rate	cagr	sharpe	sortino	volatility	avg_win	avg_loss	max_drawdown
{'period': 10, 'multiplier': 5.0, 'length': 25, 'mav': 'EMA', 'printlog': False}	0	6	3	3	2	1	0.58	50	1.86714611586261	6.11926105639791	14.7031398839163	0.079649216410493	0.004709582912055	-0.003616852155617	-0.003616852155617
{'period': 12, 'multiplier': 5.0, 'length': 25, 'mav': 'EMA', 'printlog': False}	0	6	3	3	2	1	0.5	50	1.50253277919671	5.0823323919506	12.8176047902965	0.083601527244929	0.004337537684555	-0.003616852155617	-0.003616852155617
{'period': 16, 'multiplier': 5.0, 'length': 25, 'mav': 'EMA', 'printlog': False}	0	6	3	3	2	1	0.42	50	1.14570791351076	4.44912095919473	10.6716570087708	0.079511151843645	0.003914109007316	-0.003616852155617	-0.003616852155617
{'period': 14, 'multiplier': 4.5, 'length': 30, 'mav': 'EMA', 'printlog': False}	0	6	3	3	2	1	0.39	50	1.0249302027823	4.54887652311669	10.7632910006571	0.071812440092356	0.003600168466331	-0.003311456899284	-0.003311456899284
{'period': 12, 'multiplier': 4.0, 'length': 35, 'mav': 'EMA', 'printlog': False}	1	6	4	2	3	1	0.68	66.6666666666667	0.984576844280143	2.71712194103749	4.89193817223045	0.117885600909736	0.00547866898594	-0.007144129010402	-0.007144129010402
{'period': 12, 'multiplier': 4.5, 'length': 30, 'mav': 'EMA', 'printlog': False}	0	6	3	3	2	1	0.37	50	0.957806848836496	3.65687738170609	8.94221764293532	0.085272947658235	0.003758568840887	-0.003804843472693	-0.003804843472693
{'period': 14, 'multiplier': 5.0, 'length': 25, 'mav': 'EMA', 'printlog': False}	0	6	3	3	2	1	0.36	50	0.915357039008955	4.42232125463503	10.5098323008149	0.068030451794006	0.003352454994959	-0.003123332455025	-0.003123332455025
{'period': 18, 'multiplier': 4.5, 'length': 30, 'mav': 'EMA', 'printlog': False}	0	6	3	3	2	1	0.34	50	0.87478645338471	3.81581443291471	9.60086269707141	0.076362785584043	0.003390170231601	-0.003311456899283	-0.003311456899284
{'period': 18, 'multiplier': 4.5, 'length': 25, 'mav': 'EMA', 'printlog': False}	0	6	3	3	2	1	0.34	50	0.854418278644733	3.38783253263993	6.24102716126488	0.084656883652436	0.004214186815187	-0.005014048100022	-0.005014048100022
{'period': 12, 'multiplier': 4.0, 'length': 40, 'mav': 'EMA', 'printlog': False}	0	6	3	3	2	1	0.33	50	0.826823217283454	4.23762290014304	9.04710551987458	0.065826461533336	0.003342471000004	-0.003364135799662	-0.003364135799662
{'period': 16, 'multiplier': 4.0, 'length': 40, 'mav': 'EMA', 'printlog': False}	0	6	3	3	2	1	0.32	50	0.798050408202766	3.94103248858526	7.53064786273184	0.068960348214529	0.003586534832812	-0.00393765332351	-0.003937653323511
{'period': 14, 'multiplier': 3.5, 'length': 40, 'mav': 'EMA', 'printlog': False}	1	6	4	2	3	1	0.58	66.6666666666667	0.748664107451596	2.34103217457126	4.04048060374301	0.11171268953092	0.005087761830087	-0.007062154606605	-0.007062154606605
{'period': 18, 'multiplier': 3.0, 'length': 50, 'mav': 'EMA', 'printlog': False}	1	6	3	3	2	1	0.6	50	0.717711065874502	2.48458710359507	4.3560126512899	0.101657552753536	0.004666696365424	-0.006326523152819	-0.006326523152819
{'period': 14, 'multiplier': 4.0, 'length': 35, 'mav': 'EMA', 'printlog': False}	0	6	3	3	2	1	0.29	50	0.711357214883273	2.74189932043048	6.55140228436762	0.09124708965421	0.007188528515515	-0.002105036084459	-0.004166514364874
{'period': 16, 'multiplier': 4.5, 'length': 30, 'mav': 'EMA', 'printlog': False}	0	6	3	3	2	1	0.28	50	0.673835153592302	3.56641886065042	7.86486413416325	0.066929507079603	0.003076553785253	-0.003311456899284	-0.003311456899283
{'period': 18, 'multiplier': 5.0, 'length': 25, 'mav': 'EMA', 'printlog': False}	0	6	3	3	2	1	0.27	50	0.644663180259694	2.91225974806646	6.9746934126708	0.079389929102294	0.003184640928561	-0.003616852155617	-0.003616852155617
{'period': 2, 'multiplier': 4.0, 'length': 30, 'mav': 'EMA', 'printlog': False}	1	10	5	5	3	3	0.6	50	0.590043622457318	1.8489914657974	4.36119409575006	0.11799740117106	0.009108132444613	-0.003255398438071	-0.001181938569202
{'period': 16, 'multiplier': 3.5, 'length': 40, 'mav': 'EMA', 'printlog': False}	1	6	3	3	2	1	0.59	50	0.589209086130248	1.83652447448149	3.22283907268132	0.118706485302429	0.004987973381154	-0.007380620982099	-0.007380620982099
{'period': 8, 'multiplier': 4.5, 'length': 35, 'mav': 'EMA', 'printlog': False}	1	6	3	3	2	1	0.64	50	0.583872293503585	2.52753912522324	4.51634889312558	0.084727140923972	0.003861512067276	-0.005173605519628	-0.005173605519628
{'period': 18, 'multiplier': 4.0, 'length': 35, 'mav': 'EMA', 'printlog': False}	0	6	3	3	2	1	0.25	50	0.574226866619918	3.0168265780496	6.71064783156577	0.069796702433773	0.002965153073076	-0.003423585348981	-0.003423585348981
{'period': 18, 'multiplier': 3.5, 'length': 45, 'mav': 'EMA', 'printlog': False}	0	6	3	3	2	1	0.24	50	0.546956329910718	2.80408613472502	5.24125084444996	0.072263777178781	0.003315303692287	-0.004218299579456	-0.004218299579456
{'period': 14, 'multiplier': 4.0, 'length': 40, 'mav': 'EMA', 'printlog': False}	0	6	3	3	2	1	0.24	50	0.541376950992084	2.61371324263483	4.78200624356557	0.076980342656689	0.003493044086851	-0.00459079601865	-0.004590796018649
{'period': 18, 'multiplier': 4.0, 'length': 30, 'mav': 'EMA', 'printlog': False}	0	6	3	3	2	1	0.22	50	0.497632702726276	2.94355419566874	5.38416181354793	0.063636415875663	0.003012956457867	-0.003795945785399	-0.003795945785399
{'period': 16, 'multiplier': 4.0, 'length': 35, 'mav': 'EMA', 'printlog': False}	0	6	3	3	2	1	0.22	50	0.492193796472665	2.52997011979233	5.92854958793233	0.073554812923609	0.005731100034426	-0.001757862643024	-0.003423585348981
{'period': 18, 'multiplier': 4.0, 'length': 40, 'mav': 'EMA', 'printlog': False}	0	6	3	3	2	1	0.21	50	0.455214487174084	2.88166065394549	5.21052033124804	0.060363736029225	0.002856647926828	-0.003642488674601	-0.003642488674601
{'period': 18, 'multiplier': 5.0, 'length': 20, 'mav': 'EMA', 'printlog': False}	0	6	3	3	2	1	0.18	50	0.388366952543084	1.95212985038679	3.28185858943908	0.078441389405037	0.003456924320244	-0.005090898905209	-0.005090898905209
{'period': 16, 'multiplier': 3.0, 'length': 50, 'mav': 'EMA', 'printlog': False}	1	6	3	3	2	1	0.53	50	0.34168952514096	1.17868596461003	1.9749795717096	0.118806752632813	0.004701729550371	-0.007736365626586	-0.007736365626586
{'period': 14, 'multiplier': 3.0, 'length': 50, 'mav': 'EMA', 'printlog': False}	1	6	3	3	2	1	0.51	50	0.323721058065803	1.14460505236751	1.90515424207081	0.116780758355551	0.00462324743182	-0.007655210982293	-0.007655210982293
{'period': 10, 'multiplier': 4.5, 'length': 30, 'mav': 'EMA', 'printlog': False}	0	6	3	3	2	1	0.15	50	0.311557751792818	1.56921224507432	3.04837659648451	0.080962976939683	0.00302992157989	-0.004547365840596	-0.004547365840596
{'period': 8, 'multiplier': 3.5, 'length': 50, 'mav': 'EMA', 'printlog': False}	1	6	3	3	2	1	0.51	50	0.304646232981118	1.25791495343491	2.11121448338341	0.099980661714821	0.003998478884038	-0.006499729560632	-0.006499729560632
{'period': 14, 'multiplier': 3.0, 'length': 35, 'mav': 'EMA', 'printlog': False}	1	7	3	4	2	2	0.41	42.8571428571429	0.245324978284424	1.13049003019336	2.00860475612884	0.091831156787182	0.003437575239339	-0.005639267059523	-0.005639267059523
{'period': 16, 'multiplier': 4.5, 'length': 25, 'mav': 'EMA', 'printlog': False}	0	6	3	3	2	1	0.12	50	0.244026153733392	1.37376504179464	2.22776926128182	0.074522237418208	0.003116405267877	-0.005014048100022	-0.005014048100022
{'period': 14, 'multiplier': 3.5, 'length': 45, 'mav': 'EMA', 'printlog': False}	1	6	3	3	2	1	0.52	50	0.235980619574186	0.998425544502655	1.59683835010452	0.101107921057641	0.004049703265343	-0.006897635921929	-0.006897635921929
{'period': 14, 'multiplier': 5.0, 'length': 20, 'mav': 'EMA', 'printlog': False}	0	6	3	3	2	1	0.11	50	0.226460700145476	1.27378978653612	2.05459689876115	0.075259786487562	0.003116075329776	-0.005090898905209	-0.005090898905209
{'period': 18, 'multiplier': 2.5, 'length': 45, 'mav': 'EMA', 'printlog': False}	1	7	3	4	2	2	0.4	42.8571428571429	0.216209773716162	0.988722376390135	1.64461714362191	0.09412784314086	0.003641118139096	-0.006174304078731	-0.006174304078731
{'period': 10, 'multiplier': 3.5, 'length': 50, 'mav': 'EMA', 'printlog': False}	1	6	3	3	2	1	0.36	50	0.20874637688776	0.881559874747139	1.39038342539732	0.103023115553043	0.004104146669577	-0.007127090424357	-0.007127090424357
{'period': 18, 'multiplier': 3.5, 'length': 50, 'mav': 'EMA', 'printlog': False}	0	6	3	3	2	1	0.1	50	0.207534456087273	1.89663813833505	3.18412146555829	0.046146960869643	0.002020552141376	-0.002999150878543	-0.002999150878543
{'period': 10, 'multiplier': 4.5, 'length': 35, 'mav': 'EMA', 'printlog': False}	0	6	3	3	2	1	0.09	50	0.176207860394997	0.962125863829534	1.62399233431054	0.079863830547485	0.003038615493604	-0.00516248030918	-0.00516248030918
{'period': 16, 'multiplier': 2.5, 'length': 45, 'mav': 'EMA', 'printlog': False}	1	7	3	4	2	2	0.37	42.8571428571429	0.147467918497936	0.708311535667792	1.17056323053628	0.093518648192943	0.003481439761479	-0.006174304078731	-0.006174304078731
{'period': 12, 'multiplier': 3.5, 'length': 45, 'mav': 'EMA', 'printlog': False}	1	6	3	3	2	1	0.35	50	0.145901496039364	0.697464774500462	1.16950786912116	0.094124761539501	0.003453105915931	-0.006124679622552	-0.006124679622552
{'period': 16, 'multiplier': 5.0, 'length': 20, 'mav': 'EMA', 'printlog': False}	0	6	3	3	2	1	0.07	50	0.138564107458227	0.830979222770869	1.31954078245297	0.074091223775066	0.002911927235621	-0.005090898905209	-0.005090898905209
{'period': 16, 'multiplier': 2.5, 'length': 50, 'mav': 'EMA', 'printlog': False}	1	7	3	4	2	2	0.28	42.8571428571429	0.099088301786533	0.534192902330813	0.886678561207473	0.086036767052923	0.003101357559693	-0.005655569520586	-0.005655569520586
{'period': 18, 'multiplier': 3.5, 'length': 40, 'mav': 'EMA', 'printlog': False}	1	6	3	3	2	1	0.44	50	0.096721817014702	0.396497309952256	0.649362291466389	0.119131176109918	0.004249502724779	-0.007936681748855	-0.007936681748855
{'period': 14, 'multiplier': 4.0, 'length': 45, 'mav': 'EMA', 'printlog': False}	0	6	3	3	2	1	0.05	50	0.095780884472245	0.745242352028811	1.16672374813672	0.058003054580016	0.002278506240873	-0.004042413281506	-0.004042413281507
{'period': 10, 'multiplier': 3.5, 'length': 45, 'mav': 'EMA', 'printlog': False}	1	6	3	3	2	1	0.41	50	0.075517837063601	0.325967601080687	0.514853931263175	0.116776888111152	0.004260039395754	-0.008066918290565	-0.008066918290565
{'period': 8, 'multiplier': 5.0, 'length': 50, 'mav': 'EMA', 'printlog': False}	0	5	3	2	3	1	0.03	60	0.057506469466385	0.274359854410237	0.451277134959055	0.107989204026761	0.003758046076439	-0.007163379030322	-0.007163379030322
{'period': 10, 'multiplier': 5.0, 'length': 45, 'mav': 'EMA', 'printlog': False}	0	5	3	2	3	1	0.01	60	0.027223912162701	0.135723541230311	0.249176778339611	0.137449268128104	0.009122963400262	-0.004450439429834	-0.008132426417319
{'period': 16, 'multiplier': 3.0, 'length': 35, 'mav': 'EMA', 'printlog': False}	1	7	3	4	2	2	0.3	42.8571428571429	0.019624221473037	0.128122001425931	0.227212228326964	0.091681760867771	0.005907567990774	-0.002883864646002	-0.005639267059523
{'period': 12, 'multiplier': 4.5, 'length': 35, 'mav': 'EMA', 'printlog': False}	0	6	3	3	2	1	-0.01	50	-0.019453645126904	-0.083431405117409	-0.129578077673459	0.081683671067265	0.002828653200121	-0.005738437155626	-0.005738437155626
{'period': 14, 'multiplier': 2.5, 'length': 50, 'mav': 'EMA', 'printlog': False}	1	7	3	4	2	2	0.22	42.8571428571429	-0.038955736580995	-0.178309022481177	-0.295948911388358	0.088061385868874	0.002801027522719	-0.005788985279159	-0.005788985279159
{'period': 8, 'multiplier': 5.0, 'length': 30, 'mav': 'EMA', 'printlog': False}	0	6	3	3	2	1	-0.02	50	-0.042303003763768	-0.181670497674786	-0.281889706716651	0.093456308203692	0.003184762004459	-0.006571646080611	-0.006571646080611
{'period': 16, 'multiplier': 3.5, 'length': 50, 'mav': 'EMA', 'printlog': False}	0	6	3	3	2	1	-0.03	50	-0.056696658742629	-0.622602475002921	-0.955691628961944	0.042193436317315	0.00134320795189	-0.002999150878543	-0.002999150878543
{'period': 10, 'multiplier': 4.0, 'length': 40, 'mav': 'EMA', 'printlog': False}	1	6	3	3	2	1	0.34	50	-0.077153174381176	-0.347750588462337	-0.514916254684622	0.097189058674967	0.003379615387419	-0.007161582588485	-0.007161582588485
{'period': 18, 'multiplier': 3.5, 'length': 30, 'mav': 'EMA', 'printlog': False}	1	7	3	4	2	2	0.13	42.8571428571429	-0.088114010979201	-0.447486875340323	-0.770435038630537	0.088972064776406	0.00557750808717	-0.003025741134415	-0.005622054873807
{'period': 18, 'multiplier': 3.0, 'length': 35, 'mav': 'EMA', 'printlog': False}	1	7	3	4	2	2	0.24	42.8571428571429	-0.091822856296125	-0.497958941773142	-0.811840418362121	0.084263489304138	0.00256987306569	-0.005639267059523	-0.005639267059523
{'period': 2, 'multiplier': 5.0, 'length': 40, 'mav': 'EMA', 'printlog': False}	1	7	3	4	2	2	0.19	42.8571428571429	-0.106662956087473	-0.573933122480761	-1.06615267937121	0.086140386057049	0.005779875587334	-0.003184216488556	-0.004815204337375
{'period': 16, 'multiplier': 3.0, 'length': 40, 'mav': 'EMA', 'printlog': False}	1	7	3	4	2	2	0.1	42.8571428571429	-0.136874651188747	-0.746150053900107	-1.35738391783542	0.087379757060682	0.005773404411716	-0.00327478798229	-0.005009311330281
{'period': 14, 'multiplier': 4.5, 'length': 35, 'mav': 'EMA', 'printlog': False}	0	6	3	3	2	1	-0.08	50	-0.137007270053144	-0.927679090962265	-1.32507782016463	0.071269582091417	0.002328474316933	-0.005444035552055	-0.005444035552055
{'period': 12, 'multiplier': 5.0, 'length': 45, 'mav': 'EMA', 'printlog': False}	0	5	3	2	3	1	-0.08	60	-0.139215729280866	-0.42340418808397	-0.688777800992959	0.146117676047121	0.00453189221435	-0.00980029438098	-0.00980029438098
{'period': 10, 'multiplier': 4.0, 'length': 45, 'mav': 'EMA', 'printlog': False}	0	6	3	3	2	1	-0.08	50	-0.142193107075251	-1.17424526654553	-1.67403595697204	0.0591174943051	0.001849044068651	-0.004524498111799	-0.004524498111799
{'period': 16, 'multiplier': 3.5, 'length': 45, 'mav': 'EMA', 'printlog': False}	1	6	3	3	2	1	0.29	50	-0.165831761113319	-0.735580507730353	-1.0625621231045	0.108125166200241	0.003610083210748	-0.008167008857829	-0.008167008857829
{'period': 16, 'multiplier': 4.5, 'length': 20, 'mav': 'EMA', 'printlog': False}	0	7	3	4	2	2	-0.11	42.8571428571429	-0.184196368956981	-1.26198295248041	-2.30566270274293	0.072837379815057	0.004856289487784	-0.002975284813118	-0.002195416102768
{'period': 10, 'multiplier': 5.0, 'length': 30, 'mav': 'EMA', 'printlog': False}	0	6	3	3	2	1	-0.12	50	-0.193181064146486	-1.26546477385348	-1.82039289757514	0.07651431068917	0.002325390192248	-0.005803472823459	-0.005803472823459
{'period': 16, 'multiplier': 4.5, 'length': 45, 'mav': 'EMA', 'printlog': False}	0	5	3	2	3	1	-0.12	60	-0.19337652247123	-0.813098551057821	-1.44134980046839	0.116103152034647	0.007505717762023	-0.004314783313705	-0.006944818375298
{'period': 2, 'multiplier': 4.5, 'length': 45, 'mav': 'EMA', 'printlog': False}	1	7	3	4	2	2	0.13	42.8571428571429	-0.195645190001602	-1.02135136625273	-1.819286634839	0.095142590034385	0.006190658852222	-0.003673746178019	-0.005540718478675
{'period': 12, 'multiplier': 2.5, 'length': 50, 'mav': 'EMA', 'printlog': False}	1	7	3	4	2	2	0.14	42.8571428571429	-0.209544909288464	-1.14523511922608	-1.6901591902044	0.092017008524671	0.002774192661087	-0.006802922342752	-0.006802922342752
{'period': 12, 'multiplier': 4.5, 'length': 50, 'mav': 'EMA', 'printlog': False}	0	5	3	2	3	1	-0.13	60	-0.217035099474607	-1.03006421316863	-1.7486339703897	0.105689070819862	0.00656265945772	-0.003929344785851	-0.006691962904283
{'period': 2, 'multiplier': 3.5, 'length': 50, 'mav': 'EMA', 'printlog': False}	1	8	3	5	2	3	0.1	37.5	-0.23710031148232	-1.17883133280868	-2.16033656187888	0.102665109979168	0.006854341364569	-0.004147556684842	-0.005363549500693
{'period': 4, 'multiplier': 5.0, 'length': 45, 'mav': 'EMA', 'printlog': False}	1	6	3	3	2	1	0.11	50	-0.239891786725046	-2.0754383203266	-2.82412373818578	0.06023185022095	0.001670716183191	-0.004829616771772	-0.004829616771772
{'period': 2, 'multiplier': 2.0, 'length': 20, 'mav': 'EMA', 'printlog': False}	0	18	7	11	2	4	-0.15	38.8888888888889	-0.243294628904119	-0.50911930220203	-0.942498686922304	0.220280049507133	0.014735738873204	-0.008035421966924	-0.012475113016109
{'period': 10, 'multiplier': 4.0, 'length': 50, 'mav': 'EMA', 'printlog': False}	0	6	3	3	2	1	-0.16	50	-0.250969694954523	-2.26283408990833	-3.03373788779984	0.058262913425156	0.001586054765719	-0.004741625087103	-0.004741625087103
{'period': 18, 'multiplier': 2.5, 'length': 50, 'mav': 'EMA', 'printlog': False}	1	7	3	4	2	2	0.02	42.8571428571429	-0.264699342061486	-1.76225382988505	-2.86628257734548	0.079102049115173	0.004734998240146	-0.003197248459388	-0.005161016508145
{'period': 12, 'multiplier': 5.0, 'length': 50, 'mav': 'EMA', 'printlog': False}	0	5	3	2	3	1	-0.17	60	-0.267498940892244	-1.19276094727465	-1.79755941997916	0.116302753566533	0.003384359094368	-0.008420163218672	-0.008420163218672
{'period': 16, 'multiplier': 4.5, 'length': 35, 'mav': 'EMA', 'printlog': False}	0	6	2	4	1	2	-0.19	33.3333333333333	-0.2885252217399	-2.26748709668919	-3.10797402543549	0.068390086327517	0.001798960405259	-0.005444035552055	-0.005444035552055
{'period': 8, 'multiplier': 4.0, 'length': 45, 'mav': 'EMA', 'printlog': False}	1	6	3	3	2	1	0.09	50	-0.289143343519253	-1.66595732830584	-2.29405769000341	0.092542933970826	0.00274864967822	-0.007332687202054	-0.007332687202054
{'period': 14, 'multiplier': 4.5, 'length': 20, 'mav': 'EMA', 'printlog': False}	0	7	3	4	2	2	-0.19	42.8571428571429	-0.29426553426495	-1.90352962601747	-3.21490347691787	0.083037996226294	0.005208373901798	-0.003545051747934	-0.002195416102768
{'period': 8, 'multiplier': 2.0, 'length': 10, 'mav': 'EMA', 'printlog': False}	0	22	9	13	3	3	-0.19	40.9090909090909	-0.299506198012079	-0.701281067679999	-1.31862177553617	0.212219438178691	0.014381802153838	-0.008076766994707	-0.004822615572829
{'period': 14, 'multiplier': 3.5, 'length': 50, 'mav': 'EMA', 'printlog': False}	1	6	3	3	2	1	0.04	50	-0.302606629708468	-2.2315112897959	-2.98832818846265	0.073504196847739	0.002018082063796	-0.005988847997987	-0.005988847997987
{'period': 12, 'multiplier': 3.0, 'length': 50, 'mav': 'EMA', 'printlog': False}	1	7	3	4	2	2	-0.01	42.8571428571429	-0.305305735217556	-1.65817439045826	-2.89987637232129	0.099111575922454	0.006403219440863	-0.004179849464435	-0.00546312295666
{'period': 10, 'multiplier': 2.0, 'length': 10, 'mav': 'EMA', 'printlog': False}	0	21	8	13	3	4	-0.2	38.0952380952381	-0.306747025211902	-0.779812253100223	-1.48305951642012	0.199254224983769	0.013622072864368	-0.007735922659115	-0.00539200748693
{'period': 12, 'multiplier': 3.5, 'length': 30, 'mav': 'EMA', 'printlog': False}	1	7	3	4	2	2	0.03	42.8571428571429	-0.323973960237387	-1.70190023657039	-2.89999444514348	0.103742613133058	0.006539273834447	-0.004320586785281	-0.006163481414212
{'period': 8, 'multiplier': 5.0, 'length': 45, 'mav': 'EMA', 'printlog': False}	0	5	3	2	3	1	-0.23	60	-0.345170879934391	-1.59171492563278	-2.55569299969165	0.119395024769547	0.007001078983111	-0.004631746890198	-0.008017097194823
{'period': 12, 'multiplier': 4.5, 'length': 20, 'mav': 'EMA', 'printlog': False}	0	7	3	4	2	2	-0.25	42.8571428571429	-0.361987420024741	-2.42149741425021	-3.88795904378906	0.084405362438677	0.005061228969954	-0.003747205954585	-0.002195416102767
{'period': 6, 'multiplier': 4.5, 'length': 40, 'mav': 'EMA', 'printlog': False}	1	6	4	2	3	1	0.05	66.6666666666667	-0.369713899856142	-2.24058963175565	-3.01995311817722	0.09347683600392	0.002536838049559	-0.007567047879591	-0.007567047879591
{'period': 4, 'multiplier': 4.5, 'length': 50, 'mav': 'EMA', 'printlog': False}	1	6	3	3	2	1	-0.13	50	-0.380110738377607	-3.05629673270861	-3.94666848068614	0.071429107404054	0.001718205388586	-0.006035322057879	-0.006035322057879
{'period': 12, 'multiplier': 4.0, 'length': 45, 'mav': 'EMA', 'printlog': False}	0	6	3	3	2	1	-0.26	50	-0.380528171348766	-3.94437452100329	-4.91524285089445	0.055595857816137	0.00112861521891	-0.004867836212144	-0.004867836212144
{'period': 12, 'multiplier': 5.0, 'length': 40, 'mav': 'EMA', 'printlog': False}	0	5	3	2	3	1	-0.26	60	-0.380569286670554	-1.67866112433594	-2.66755141245602	0.128012152822647	0.007415082017807	-0.004986642344534	-0.008696174696918
{'period': 16, 'multiplier': 4.0, 'length': 45, 'mav': 'EMA', 'printlog': False}	0	6	3	3	2	1	-0.26	50	-0.381403972399514	-5.05774031329986	-5.9472087655287	0.043564929144874	0.000709658436098	-0.004042413281506	-0.004042413281506
{'period': 10, 'multiplier': 5.0, 'length': 50, 'mav': 'EMA', 'printlog': False}	0	5	3	2	3	1	-0.27	60	-0.387332896850422	-1.80691457770642	-2.54683045313111	0.121991041479087	0.003409604990384	-0.009443345590271	-0.009443345590271
{'period': 8, 'multiplier': 3.5, 'length': 45, 'mav': 'EMA', 'printlog': False}	1	7	3	4	2	2	0.08	42.8571428571429	-0.394414342163613	-1.89588522882767	-3.03694493916455	0.119211676426217	0.007019141403205	-0.004854878180414	-0.007920345820162
{'period': 10, 'multiplier': 3.0, 'length': 45, 'mav': 'EMA', 'printlog': False}	1	7	3	4	2	2	-0.13	42.8571428571429	-0.394817541355849	-3.01157400861524	-4.74500046929505	0.076082168058959	0.004545519380376	-0.003636611355935	-0.004445603900393
{'period': 14, 'multiplier': 4.0, 'length': 30, 'mav': 'EMA', 'printlog': False}	0	7	3	4	2	2	-0.28	42.8571428571429	-0.404334069624829	-3.61194907620395	-5.4648661239141	0.065590770211955	0.003797658204509	-0.003309010780079	-0.0037959457854
{'period': 16, 'multiplier': 3.5, 'length': 15, 'mav': 'EMA', 'printlog': False}	1	10	4	6	2	3	0.07	40	-0.407188564290977	-1.37219802964714	-2.35434756702961	0.168422062659874	0.010627206548103	-0.00668924864626	-0.010240340066202
